Real_Time,Time_Elapsed(s),Lux,Target,Effort,Foil_V,LED_Pct
14:47:41,3.984,523,1000,2,3.3,0
14:47:42,4.189,521,1000,4,3.4,0
14:47:42,4.391,520,1000,7,3.5,0
14:47:42,4.592,519,1000,9,3.6,0
14:47:42,4.783,518,1000,11,3.7,0
14:47:42,4.983,517,1000,14,3.8,0
14:47:43,5.182,514,1000,16,3.9,0
14:47:43,5.381,513,1000,19,4.0,0
14:47:43,5.583,512,1000,21,4.1,0
14:47:43,5.785,512,1000,24,4.2,0
14:47:43,5.985,512,1000,26,4.2,0
14:47:44,6.173,512,1000,29,4.3,0
14:47:44,6.38,513,1000,31,4.4,0
14:47:44,6.572,514,1000,33,4.5,0
14:47:44,6.78,515,1000,36,4.6,0
14:47:44,6.971,516,1000,38,4.7,0
14:47:45,7.177,517,1000,41,4.8,0
14:47:45,7.377,518,1000,43,4.9,0
14:47:45,7.58,519,1000,45,5.0,0
14:47:45,7.782,520,1000,48,5.1,0
14:47:45,7.993,520,1000,50,5.2,0
14:47:46,8.183,521,1000,53,5.3,0
14:47:46,8.382,521,1000,55,5.4,0
14:47:46,8.573,522,1000,57,5.6,0
14:47:46,8.772,523,1000,60,5.9,0
14:47:46,8.972,524,1000,62,6.1,0
14:47:47,9.173,524,1000,65,6.4,0
14:47:47,9.364,525,1000,67,6.9,0
14:47:47,9.571,526,1000,69,7.7,0
14:47:47,9.764,527,1000,72,8.5,0
14:47:47,9.969,528,1000,74,9.3,0
14:47:48,10.177,529,1000,76,10.0,10
14:47:48,10.377,530,1000,79,10.0,12
14:47:48,10.577,531,1000,81,10.0,14
14:47:48,10.767,603,1000,83,10.0,13
14:47:48,10.966,672,1000,85,10.0,11
14:47:49,11.172,725,1000,86,10.0,10
14:47:49,11.363,762,1000,87,9.9,0
14:47:49,11.571,779,1000,88,9.9,0
14:47:49,11.762,791,1000,89,10.0,10
14:47:49,11.97,768,1000,91,10.0,12
14:47:50,12.164,742,1000,92,10.0,14
14:47:50,12.363,770,1000,93,10.0,14
14:47:50,12.562,810,1000,94,10.0,13
