Real_Time,Time_Elapsed(s),Lux,Target,Effort,Foil_V,LED_Pct
16:18:58,5480.42,1002,1000,7,1.8,0
16:18:58,5480.612,1002,1000,7,1.8,0
16:18:58,5480.822,1002,1000,7,1.8,0
16:18:58,5481.014,1001,1000,7,1.8,0
16:18:59,5481.222,1001,1000,7,1.8,0
16:18:59,5481.414,1001,1000,7,1.8,0
16:18:59,5481.607,1002,1000,7,1.8,0
16:18:59,5481.815,1002,1000,7,1.8,0
16:18:59,5482.008,1001,1000,7,1.8,0
16:19:00,5482.216,1002,1000,7,1.8,0
16:19:00,5482.409,1002,1000,7,1.8,0
16:19:00,5482.618,1003,1000,7,1.8,0
16:19:00,5482.81,1003,1000,7,1.8,0
16:19:00,5483.015,1004,1000,7,1.8,0
16:19:01,5483.206,1005,1000,7,1.7,0
16:19:01,5483.412,1005,1000,7,1.7,0
16:19:01,5483.603,1006,1000,7,1.7,0
16:19:01,5483.811,1006,1000,7,1.7,0
16:19:01,5484.004,1007,1000,7,1.6,0
16:19:02,5484.212,1003,1000,7,1.7,0
16:19:02,5484.405,1003,1000,7,1.7,0
16:19:02,5484.598,1004,1000,7,1.7,0
16:19:02,5484.808,1005,1000,7,1.7,0
16:19:02,5485,1005,1000,7,1.6,0
16:19:03,5485.208,1006,1000,7,1.6,0
16:19:03,5485.401,1002,1000,7,1.7,0
16:19:03,5485.608,1002,1000,7,1.7,0
16:19:03,5485.802,1003,1000,7,1.7,0
16:19:03,5485.994,1004,1000,7,1.7,0
16:19:04,5486.202,1004,1000,7,1.7,0
16:19:04,5486.395,1005,1000,7,1.6,0
16:19:04,5486.604,1000,1000,7,1.7,0
16:19:04,5486.796,998,1000,7,1.7,0
16:19:04,5487.001,1000,1000,7,1.7,0
16:19:05,5487.196,1001,1000,7,1.7,0
16:19:05,5487.4,1002,1000,7,1.7,0
16:19:05,5487.592,1003,1000,7,1.7,0
16:19:05,5487.801,1003,1000,7,1.7,0
16:19:05,5487.993,1003,1000,7,1.7,0
16:19:06,5488.186,1003,1000,7,1.7,0
16:19:06,5488.395,1004,1000,7,1.7,0
16:19:06,5488.587,1003,1000,7,1.7,0
16:19:06,5488.796,1003,1000,7,1.7,0
16:19:06,5488.989,1002,1000,7,1.7,0
16:19:07,5489.199,1001,1000,7,1.7,0
16:19:07,5489.389,1002,1000,7,1.7,0
16:19:07,5489.582,1002,1000,7,1.7,0
16:19:07,5489.791,1002,1000,7,1.7,0
